Year,Value
191308,-0.11
191309,-0.27
191310,-0.34
191311,0.14
191312,0.45
191401,0.84
191402,0.07
191403,-0.15
191404,-0.29
191405,0.08
191406,0.01
191407,-0.21
191408,-0.25
191409,-0.18
191410,-0.07
191411,-0.22
191412,-0.21
191501,-0.28
191502,0.09
191503,-0.19
191504,0.20
191505,0.05
191506,-0.19
191507,0.02
191508,-0.11
191509,-0.26
191510,-0.47
191511,0.17
191512,0.03
191601,-0.15
191602,-0.26
191603,-0.59
191604,-0.35
191605,-0.37
191606,-0.55
191607,-0.34
191608,-0.39
191609,-0.40
191610,-0.39
191611,-0.57
191612,-1.18
191701,-0.51
191702,-0.90
191703,-0.99
191704,-0.64
191705,-0.93
191706,-0.56
191707,-0.24
191708,-0.36
191709,-0.28
191710,-0.70
191711,-0.16
191712,-1.29
191801,-0.63
191802,-0.65
191803,-0.46
191804,-0.77
191805,-0.79
191806,-0.50
191807,-0.41
191808,-0.40
191809,-0.21
191810,-0.02
191811,-0.33
191812,-0.87
191901,-0.61
191902,-0.22
191903,-0.55
191904,0.06
191905,-0.44
191906,-0.26
191907,-0.11
191908,-0.19
191909,-0.20
191910,-0.26
191911,-0.68
191912,-0.55
192001,-0.07
192002,-0.64
192003,-0.06
192004,-0.26
192005,-0.15
192006,-0.39
192007,-0.18
192008,-0.29
192009,-0.30
192010,-0.43
192011,-0.47
192012,-1.06
192101,0.20
192102,-0.16
192103,-0.25
192104,-0.15
192105,-0.13
192106,-0.02
192107,-0.04
192108,-0.41
192109,-0.21
192110,-0.17
192111,-0.35
192112,-0.05
192201,-0.63
192202,-0.68
192203,-0.09
192204,-0.01
192205,-0.25
192206,-0.10
192207,-0.15
192208,-0.30
192209,-0.33
192210,-0.32
192211,-0.02
192212,-0.15
192301,-0.13
192302,-0.72
192303,-0.39
192304,-0.78
192305,-0.44
192306,-0.21
192307,-0.40
192308,-0.37
192309,-0.26
192310,-0.03
192311,0.22
192312,0.09
192401,-0.50
192402,-0.31
192403,-0.06
192404,-0.49
192405,-0.22
192406,-0.19
192407,-0.13
192408,-0.27
192409,-0.18
192410,-0.26
192411,0.05
192412,-0.42
192501,-0.48
192502,-0.52
192503,-0.12
192504,0.03
192505,-0.24
192506,-0.35
192507,-0.32
192508,-0.15
192509,-0.09
192510,-0.30
192511,0.24
192512,0.55
192601,0.55
192602,0.40
192603,0.40
192604,-0.34
192605,-0.32
192606,-0.15
192607,-0.28
192608,-0.08
192609,-0.06
192610,0.07
192611,0.07
192612,-0.43
192701,-0.49
192702,-0.29
192703,-0.57
192704,-0.43
192705,-0.30
192706,-0.17
192707,-0.06
192708,-0.24
192709,0.15
192710,0.35
192711,0.08
192712,-0.62
192801,0.08
192802,-0.14
192803,-0.46
192804,-0.33
192805,-0.18
192806,-0.35
192807,-0.14
192808,-0.20
192809,-0.09
192810,-0.03
192811,0.20
192812,0.01
192901,-0.94
192902,-1.20
192903,-0.24
192904,-0.39
192905,-0.35
192906,-0.51
192907,-0.46
192908,-0.24
192909,-0.26
192910,0.03
192911,0.08
192912,-1.30
